Timestamp,Rate FF,Goals anxiety,FF-High Stakes,FF-Future plans,Self-Value,Outcome Control,FoF Total,Rate AM,Intrinsic Motivation,Seeking Learning Opportunity,Enthusiasm in Challenges,Self Comparison,Score Comparison,Mot Total,Dropping a Class,Avoid Studying,Cheating,Avoiding challenges,,FF Ability to Learn,FF Most Difficult Course,FF Easiest Course,Learning Content 1st Priority if FF in Interesting Class,Learning Content 1st Priority if FF for Uninteresting Class,"Learning Content 1st Priority if FF for P/NP Class, GPA N/A",Would Seek Help Due to FF,Would Persist if FF,Actively Seek Feedback,Perception of Academia if Failure Not Possible,Motivation to Learn Master Course Content if Failure Not Possible,Relationship Between Grades & Learning,Define Academic Success,How High Potential for Failure Affects Personal Interest,How High Stakes Class Affects Priorities
3/6/2024 21:58:19,4,4,4,5,5,4,86.66666667,4,4,3,3,5,3,73.33333333,2,1,3,3,,4,4,1,3,2,2,3,4,2,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/6/2024 22:05:04,3,4,4,4,3,4,73.33333333,3,5,3,3,4,3,70,4,2,5,1,,3,4,1,5,2,2,4,4,2,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/7/2024 1:17:30,4,4,3,4,3,5,76.66666667,3,4,5,5,4,3,80,5,1,5,2,,4,5,2,1,4,5,5,4,1,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/7/2024 10:45:42,5,4,4,5,4,4,86.66666667,4,3,3,4,4,3,70,3,1,1,3,,3,5,1,3,1,3,3,3,2,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades do not accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
2/25/2024 17:59:06,4,4,4,2,2,3,63.33333333,3,4,3,2,3,3,60,2,2,4,3,,2,2,1,3,,,2,4,4,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,
2/25/2024 18:37:22,3,5,3,1,4,3,63.33333333,3,4,3,4,4,5,76.66666667,5,3,2,2,,2,4,1,4,,,3,2,1,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,
2/25/2024 18:48:49,5,5,5,3,3,3,80,5,5,5,5,1,3,80,3,1,1,1,,3,3,1,5,,,3,3,3,I would not be willing to take risks and explore new courses,I would feel less motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,
2/25/2024 18:50:22,5,5,5,1,5,1,73.33333333,5,4,5,4,5,4,90,1,1,1,1,,3,5,1,4,,,5,3,5,I would not be willing to take risks and explore new courses,I would feel less motivated to learn,grades accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,
2/26/2024 0:14:34,5,5,4,1,4,4,76.66666667,4,5,3,3,4,4,76.66666667,3,2,3,2,,4,5,2,4,,,4,4,3,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would be less motivated to learn if I could fail something I was personally interested in,
2/26/2024 17:51:08,5,5,5,1,4,3,76.66666667,4,3,4,3,5,3,73.33333333,3,2,2,2,,2,4,2,2,,,2,4,2,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,
2/26/2024 17:54:40,3,4,5,2,3,5,73.33333333,4,3,2,2,5,5,70,1,3,1,4,,5,5,1,3,,,3,4,2,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,
2/26/2024 20:12:55,4,4,5,1,4,4,73.33333333,4,4,4,4,5,4,83.33333333,2,2,1,1,,5,5,2,4,,,2,4,2,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,
2/26/2024 23:07:03,5,5,5,1,3,4,76.66666667,3,4,4,4,3,1,63.33333333,3,1,2,2,,2,5,2,2,,,5,5,5,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would be less motivated to learn if I could fail something I was personally interested in,
3/7/2024 21:55:47,4,4,4,5,4,5,86.66666667,4,4,4,3,4,4,76.66666667,2,2,4,2,,2,5,2,3,1,2,4,4,3,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/8/2024 18:20:38,4,5,4,4,3,4,80,4,5,3,4,5,5,86.66666667,5,2,4,2,,3,4,2,1,4,1,2,4,3,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/8/2024 22:31:31,5,2,4,3,5,4,76.66666667,5,3,1,4,5,5,76.66666667,4,4,1,2,,1,3,1,1,1,1,5,4,3,I would not be willing to take risks and explore new courses,I would feel less motivated to learn,grades accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/10/2024 11:43:15,5,5,5,5,1,3,80,5,5,4,4,3,5,86.66666667,1,1,2,3,5,1,4,1,5,2,3,5,5,4,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Learning would be my top priority.
3/10/2024 12:24:43,4,4,4,3,4,2,70,4,3,2,3,4,3,63.33333333,3,3,4,3,5,5,5,2,2,1,4,2,4,4,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
